timestamp,vehicle_speed_mph,map_speed_mph,pos_x,pos_z,webots_connected,detected_speed,confirmed_speed,confidence,is_overspeed,is_temporary
3.421,30.0,30.0,0.0,0.0,0,0,0,0.0,0,0
3.671,30.0,30.0,0.0,0.0,0,0,0,0.0,0,0
3.733,30.0,30.0,0.0,0.0,0,0,0,0.0,0,0
3.914,30.0,30.0,0.0,0.0,0,0,0,0.0,0,0
3.998,30.0,30.0,0.0,0.0,0,0,0,0.0,0,0
4.074,30.0,30.0,0.0,0.0,0,0,0,0.0,0,0
4.127,30.0,30.0,0.0,0.0,0,0,0,0.0,0,0
4.196,30.0,30.0,0.0,0.0,0,0,0,0.0,0,0
4.263,30.0,30.0,0.0,0.0,0,0,0,0.0,0,0
4.329,30.0,30.0,0.0,0.0,0,0,0,0.0,0,0
4.4,30.0,30.0,0.0,0.0,0,0,0,0.0,0,0
4.459,30.0,30.0,0.0,0.0,0,0,0,0.0,0,0
4.492,30.0,30.0,0.0,0.0,0,0,0,0.0,0,0
4.539,30.0,30.0,0.0,0.0,0,0,0,0.0,0,0
4.597,30.0,30.0,0.0,0.0,0,0,0,0.0,0,0
4.668,30.0,30.0,0.0,0.0,0,0,0,0.0,0,0
4.729,30.0,30.0,0.0,0.0,0,0,0,0.0,0,0
4.793,30.0,30.0,0.0,0.0,0,0,0,0.0,0,0
4.828,30.0,30.0,0.0,0.0,0,0,0,0.0,0,0
4.895,30.0,30.0,0.0,0.0,0,0,0,0.0,0,0
4.963,30.0,30.0,0.0,0.0,0,0,0,0.0,0,0
5.032,30.0,30.0,0.0,0.0,0,0,0,0.0,0,0
5.098,30.0,30.0,0.0,0.0,0,0,0,0.0,0,0
5.161,30.0,30.0,0.0,0.0,0,0,0,0.0,0,0
5.244,30.0,30.0,0.0,0.0,0,0,0,0.0,0,0
5.296,30.0,30.0,0.0,0.0,0,0,0,0.0,0,0
5.37,30.0,30.0,0.0,0.0,0,0,0,0.0,0,0
5.437,30.0,30.0,0.0,0.0,0,0,0,0.0,0,0
5.494,30.0,30.0,0.0,0.0,0,0,0,0.0,0,0
5.562,30.0,30.0,0.0,0.0,0,0,0,0.0,0,0
5.63,30.0,30.0,0.0,0.0,0,0,0,0.0,0,0
5.698,30.0,30.0,0.0,0.0,0,0,0,0.0,0,0
5.757,30.0,30.0,0.0,0.0,0,0,0,0.0,0,0
5.797,30.0,30.0,0.0,0.0,0,0,0,0.0,0,0
5.861,30.0,30.0,0.0,0.0,0,0,0,0.0,0,0
5.929,30.0,30.0,0.0,0.0,0,0,0,0.0,0,0
5.994,30.0,30.0,0.0,0.0,0,0,0,0.0,0,0
6.061,30.0,30.0,0.0,0.0,0,0,0,0.0,0,0
6.127,30.0,30.0,0.0,0.0,0,0,0,0.0,0,0
6.162,30.0,30.0,0.0,0.0,0,0,0,0.0,0,0
6.228,30.0,30.0,0.0,0.0,0,0,0,0.0,0,0
6.293,30.0,30.0,0.0,0.0,0,0,0,0.0,0,0
6.364,30.0,30.0,0.0,0.0,0,0,0,0.0,0,0
6.448,30.0,30.0,0.0,0.0,0,0,0,0.0,0,0
6.499,30.0,30.0,0.0,0.0,0,0,0,0.0,0,0
6.563,30.0,30.0,0.0,0.0,0,0,0,0.0,0,0
6.626,30.0,30.0,0.0,0.0,0,0,0,0.0,0,0
6.697,30.0,30.0,0.0,0.0,0,0,0,0.0,0,0
6.767,30.0,30.0,0.0,0.0,0,0,0,0.0,0,0
6.824,30.0,30.0,0.0,0.0,0,0,0,0.0,0,0
6.861,30.0,30.0,0.0,0.0,0,0,0,0.0,0,0
6.927,30.0,30.0,0.0,0.0,0,0,0,0.0,0,0
6.991,30.0,30.0,0.0,0.0,0,0,0,0.0,0,0
7.06,30.0,30.0,0.0,0.0,0,0,0,0.0,0,0
7.127,30.0,30.0,0.0,0.0,0,0,0,0.0,0,0
7.196,30.0,30.0,0.0,0.0,0,0,0,0.0,0,0
7.266,30.0,30.0,0.0,0.0,0,0,0,0.0,0,0
7.329,30.0,30.0,0.0,0.0,0,0,0,0.0,0,0
7.398,30.0,30.0,0.0,0.0,0,0,0,0.0,0,0
7.461,30.0,30.0,0.0,0.0,0,0,0,0.0,0,0
7.529,30.0,30.0,0.0,0.0,0,0,0,0.0,0,0
7.59,30.0,30.0,0.0,0.0,0,0,0,0.0,0,0
7.627,30.0,30.0,0.0,0.0,0,0,0,0.0,0,0
7.694,30.0,30.0,0.0,0.0,0,0,0,0.0,0,0
7.756,30.0,30.0,0.0,0.0,0,0,0,0.0,0,0
7.792,30.0,30.0,0.0,0.0,0,0,0,0.0,0,0
